geo,name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
kaz,Kazakhstan,,,,,,0.00634,0.0126,0.01876,0.1894,1.66308,2.05339,3.47382,5.16487,6.99285,9.46082,11.1573,12.0564,12.7238,12.7965,13.8114,13.0002,13.0799,13.4503,13.9468,14.474,14.3457
ken,Kenya,,,,,,,,0.01508,0.04802,0.04663,0.00837,0.04504,0.01651,0.12663,0.12383,0.16481,0.22109,0.28692,0.27566,0.58601,0.73993,0.95929,1.29112,1.48254,1.47647,2.38883
kgz,Kyrgyz Republic,,,,,0.0007,0.00269,0.03665,0.04369,0.05229,0.05863,0.35624,0.32151,0.41977,0.69782,0.95873,2.34937,2.89415,3.52424,3.94327,4.14802,3.95179,4.14366,4.33664,4.43258,5.60484,6.44653
khm,Cambodia,,,,,0.00039,0.00321,0.00589,0.00744,0.02126,0.06105,0.11808,0.21013,0.24596,0.14943,0.19895,0.21521,0.42938,0.53448,0.61592,0.83139,1.02123,1.11872,1.3977,1.98089,2.96383,3.64182
kir,Kiribati,,,,,,,,0.32845,0.40193,0.49379,0.65725,0.71853,0.77826,0.76821,0.71248,0.61491,0.43355,0.10016,0.09284,0.09229,0.07126,0.08473,0.14671,0.08646,0.06898,0.03999
kna,St. Kitts and Nevis,,,,,1.08648,4.33125,9.50016,13.9975,18.8967,20.5541,23.7088,27.7091,31.1659,26.8737,27.6402,28.2564,29.7692,34.7782,30.1179,62.2147,34.8473,43.4039,45.9569,43.0255,46.7447,
kor,South Korea,0.03027,0.59759,8.27513,16.6187,21.9993,23.5267,24.9941,25.4761,29.2516,30.5325,32.0018,33.676,35.2563,36.3533,36.8,37.4218,37.9883,39.276,40.0712,41.1681,41.219,42.0374,43.0541,44.2526,45.4542,46.5676
kwt,Kuwait,,,,0.24899,0.50972,0.61615,0.92708,1.11767,1.26864,1.3956,1.50862,1.60974,1.56283,1.50025,1.40844,1.33989,1.30941,1.43436,2.53224,2.8334,2.40138,1.90435,1.68058,1.61587,1.36328,1.01366
lao,Lao,,,,,,0.00044,0.00086,0.00535,0.01243,0.01874,0.0471,0.06916,0.09291,0.10186,0.11625,0.13651,0.24047,0.21392,0.35355,0.38781,0.63663,1.05394,1.67211,2.02269,2.38186,2.72021
lbn,Lebanon,,,,,,,,,,1.03218,2.03031,3.94609,6.56755,7.89497,9.09489,8.35737,17.8374,,,,,7.24814,7.57699,7.55615,7.29167,
lbr,Liberia,,,,,,,,,,,0.00288,0.0038,0.00458,0.00149,0.01198,0.11364,0.13145,0.15023,0.16822,0.18561,,0.21809,0.25245,0.24718,0.27467,
lby,Libya,,,,,,,,,,,0.7416,0.98953,1.12037,1.10354,1.08912,1.02623,0.97709,0.93389,2.547,4.71896,,4.57486,4.7123,4.653,4.51841,
lca,St. Lucia,,,,,,0.85902,2.3137,4.23089,4.30631,6.60356,9.19802,10.9414,11.9896,12.4213,14.238,14.2494,16.1935,16.2523,16.958,18.049,18.2271,8.8849,19.9725,10.6754,13.5719,
lie,Liechtenstein,,,,,4.25879,4.40399,13.7864,24.8393,28.5919,40.3111,43.872,44.749,42.3623,37.4828,39.3923,40.6827,42.0041,41.9679,42.3634,42.9406,43.8302,44.6748,46.5602,47.5207,48.9305,49.4065
lka,Sri Lanka,,,,0.00167,0.00299,0.01713,0.1018,0.10387,0.11249,0.30871,0.49406,0.8171,1.09352,1.70879,1.67222,1.9868,2.63419,2.88043,4.0719,5.52576,6.93976,7.43541,7.89622,10.5401,9.6361,8.76545
lso,Lesotho,,,,,,,0.00112,0.0023,,0.00563,0.00712,0.02019,0.02004,0.06648,0.08042,0.11063,0.07221,0.09798,0.10467,0.22349,0.26392,0.20902,0.22632,0.35365,0.39753,0.38374
ltu,Lithuania,,,,0.06988,0.58071,1.95562,3.82181,7.04583,11.2764,17.3003,18.4495,20.0357,21.9297,24.0272,25.7288,28.2657,27.3378,28.6774,29.8964,28.2319,28.1445,28.2792,28.4989,28.7127,28.44,27.9638
